author;date;title;url;views;game;game_type
Ancient Egypt Fan;2023-06-10 21:16:00;Chinese Empire - Carnet de Développement N°7;https://www.mundusbellicus.fr/623935-chinese-empire-carnet-de-developpement-n7;151;Chinese Empire;Gestion
Ancient Egypt Fan;2023-06-10 02:45:00;Aztecs The Last Sun - Carnet de développement #1;https://www.mundusbellicus.fr/623921-aztecs-the-last-sun-carnet-de-developpement-1;187;Aztecs The Last Sun;Gestion
Ancient Egypt Fan;2023-06-05 23:30:00;Builders of Greece - Le coin de l'architecte #8 - #9 - #10 - #11;https://www.mundusbellicus.fr/623885-builders-of-greece-le-coin-de-l-architecte-8-9-10-11;171;Builders of Greece;Gestion
Lynx;2023-06-02 15:12:00;REGIMENTS;https://www.mundusbellicus.fr/623867-regiments;554;REGIMENTS;STR
Krissotep;2023-06-01 18:05:00;"Stellaris, carnet des développeurs n°303 : Événement communautaire ""Stellaris with a Twist!""";https://www.mundusbellicus.fr/623863-stellaris-carnet-des-developpeurs-303-evenement-communautaire-stellaris-with-a-twist;189;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-05-29 23:17:00;Builders of Egypt - Carnet de Développement #46;https://www.mundusbellicus.fr/623853-builders-of-egypt-carnet-de-developpement-46;114;Builders of Egypt;Gestion
Ancient Egypt Fan;2023-05-29 22:30:00;El Dorado: The Golden City Builder - Les saisons;https://www.mundusbellicus.fr/623851-el-dorado-the-golden-city-builder-les-saisons;116;El Dorado: The Golden City Builder;Gestion
Ancient Egypt Fan;2023-05-29 22:05:00;Viking City Builder - Carnets de Développement #21, #22, #23;https://www.mundusbellicus.fr/623850-viking-city-builder-carnets-de-developpement-21-22-23;79;Viking City Builder;Gestion
Krissotep;2023-05-25 18:08:00;Stellaris, carnet des développeurs n°301 : Personnalités et équilibrage en 3.8.3;https://www.mundusbellicus.fr/623825-stellaris-carnet-des-developpeurs-301-personnalites-et-equilibrage-en-3-8-3;455;Stellaris;Grande Stratégie
Limse;2023-05-21 18:13:00;Victoria 3 - Carnet LXXXV : « La Voix du Peuple », visuels et récapitulatif;https://www.mundusbellicus.fr/623791-victoria-3-carnet-lxxxv-la-voix-du-peuple-visuels-et-recapitulatif;495;Victoria 3;Grande Stratégie
Lynx;2023-05-21 14:57:00;RULE the WAVES 3;https://www.mundusbellicus.fr/623789-rule-the-waves-3;500;RULE the WAVES 3;Grande Stratégie
Ancient Egypt Fan;2023-05-18 01:04:00;Builders of Egypt - Carnet de Développement #45;https://www.mundusbellicus.fr/623760-builders-of-egypt-carnet-de-developpement-45;104;Builders of Egypt;Gestion
Ancient Egypt Fan;2023-05-17 21:43:00;Celestial Empire - Carnet de Développement N°19;https://www.mundusbellicus.fr/623757-celestial-empire-carnet-de-developpement-n19;58;Celestial Empire;Gestion
Ancient Egypt Fan;2023-05-17 20:52:00;Monuments Flipper - Le Temple de Louxor;https://www.mundusbellicus.fr/623755-monuments-flipper-le-temple-de-louxor;74;Monuments Flipper;Gestion
Krissotep;2023-05-16 17:27:00;Stellaris, carnet des développeurs n°301 : Galactic Paragons est sorti, quelle est la prochaine étape ?;https://www.mundusbellicus.fr/623749-stellaris-carnet-des-developpeurs-301-galactic-paragons-est-sorti-quelle-est-la-prochaine-etape;269;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-05-12 23:51:00;Laysara: Summit Kingdom -  Sortie de la première démo;https://www.mundusbellicus.fr/623734-laysara-summit-kingdom-sortie-de-la-premiere-demo;127;Laysara;Gestion
Limse;2023-05-11 16:11:00;Victoria 3 - Carnet LXXXIV : Coups d’État et France;https://www.mundusbellicus.fr/623724-victoria-3-carnet-lxxxiv-coups-d’etat-et-france;964;Victoria 3;Grande Stratégie
Limse;2023-05-11 15:55:00;Victoria 3 - Carnet LXXXIII : Agitateurs et exilés;https://www.mundusbellicus.fr/623723-victoria-3-carnet-lxxxiii-agitateurs-et-exiles;245;Victoria 3;Grande Stratégie
Krissotep;2023-05-09 17:12:00;Stellaris, carnet des développeurs n°300 : Bon anniversaire! Patch Note de «Gemini» 3.8 et Galactic Paragons;https://www.mundusbellicus.fr/623712-stellaris-carnet-des-developpeurs-300-joyeux-anniversaire-patch-note-de-gemini-3-8-et-galactic-paragons;323;Stellaris;Grande Stratégie
AcidePrussique;2023-05-04 20:38:00;Europa Universalis IV - Patch 1.35.2 - Ottomans;https://www.mundusbellicus.fr/623693-europa-universalis-iv-patch-1-35-2-ottomans;616;Europa Universalis IV;Grande Stratégie
Krissotep;2023-05-04 17:37:00;Stellaris, carnet des développeurs n°299 : Civismes, origines et traditions;https://www.mundusbellicus.fr/623690-stellaris-carnet-des-developpeurs-299-civismes-origines-et-traditions;308;Stellaris;Grande Stratégie
Krissotep;2023-05-02 17:36:00;Stellaris, carnet des développeurs n°298 : Parangons renommés et légendaires;https://www.mundusbellicus.fr/623665-stellaris-carnet-des-developpeurs-298-parangons-renommes-et-legendaires;414;Stellaris;Grande Stratégie
Krissotep;2023-04-27 17:52:00;Stellaris, carnet des développeurs n°297 : Les Leaders, Le Conseil, et les Priorités;https://www.mundusbellicus.fr/623646-stellaris-carnet-des-developpeurs-297-les-leaders-le-conseil-et-les-priorites;544;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-04-26 20:20:00;Sumerians - Mise à jour d'avril 2023;https://www.mundusbellicus.fr/623645-sumerians-mise-a-jour-d-avril-2023;120;Sumerians;Gestion
Krissotep;2023-04-25 17:47:00;Stellaris, carnet des développeurs n°296 : Galactic Paragons;https://www.mundusbellicus.fr/623627-stellaris-carnet-des-developpeurs-296-galactic-paragons;654;Stellaris;Grande Stratégie
AcidePrussique;2023-04-21 10:45:00;Europa Universalis IV - Patch 1.35.1 - Ottomans;https://www.mundusbellicus.fr/623599-europa-universalis-iv-patch-1-35-1-ottomans;504;Europa Universalis IV;Grande Stratégie
Limse;2023-04-20 22:54:00;Victoria 3 - La Voix du Peuple;https://www.mundusbellicus.fr/623596-victoria-3-la-voix-du-peuple;614;Victoria 3;Grande Stratégie
Krissotep;2023-04-20 17:29:00;Stellaris, carnet des développeurs n°295 : Armées, Secteurs, Messages et plus;https://www.mundusbellicus.fr/623594-stellaris-carnet-des-developpeurs-295-armees-secteurs-messages-et-plus;354;Stellaris;Grande Stratégie
