title;url;author;date;views;game;game_type
Builders of Egypt - Date de sortie et tests Open-Bêta;https://www.mundusbellicus.fr/604201-builders-of-egypt-date-de-sortie-et-tests-open-beta;Ancient Egypt Fan;2021-09-21 20:35:00;82.0;Builders of Egypt;Gestion
Pharaoh : A New Era - Découvrez nos atouts redessinés - Partie 4;https://www.mundusbellicus.fr/604192-pharaoh-a-new-era-decouvrez-nos-atouts-redessines-partie-4;Ancient Egypt Fan;2021-09-21 16:49:00;139.0;Pharaoh : A New Era;Gestion
Chinese City Constructor - Carnet de Développement N°3;https://www.mundusbellicus.fr/604191-chinese-city-constructor-carnet-de-developpement-n3;Ancient Egypt Fan;2021-09-21 15:15:00;97.0;Chinese City Constructor ;Gestion
Diarium Strategorum - 26ème édition - Le Journal des Stratèges : juillet 2021;https://www.mundusbellicus.fr/604133-diarium-strategorum-26ème-édition-le-journal-des-stratèges-juillet-2021;CptSparke;2021-09-18 20:02:00;165.0;Diarium Strategorum;
Crusader Kings 3 : Servir à la Cour de sa Majesté;https://www.mundusbellicus.fr/604129-crusader-kings-3-servir-à-la-cour-de-sa-majeste;Mouchi;2021-09-18 15:02:00;483.0;Crusader Kings 3;Grande Stratégie
Fields of History: The Great War - Bombardements Stratégiques et Reconnaissance Aérienne;https://www.mundusbellicus.fr/604114-fields-of-history-the-great-war-bombardements-stratégiques-et-reconnaissance-aérienne;Mouchi;2021-09-17 19:31:00;148.0;Fields of History: The Great War;Grande Stratégie
Carnet de développement HOI4 1.11 Barbarossa - Des petites améliorations N°2;https://www.mundusbellicus.fr/604110-carnet-de-developpement-hoi4-1-11-barbarossa-des-petites-ameliorations-n2;Sinake;2021-09-17 16:00:00;347.0;Hearts of Iron IV;Grande Stratégie
Timberborn - Sortie Officielle en Accès Anticipé;https://www.mundusbellicus.fr/604061-timberborn-sortie-officiel-en-acces-anticipe;Ancient Egypt Fan;2021-09-15 17:48:00;190.0;Timberborn;Gestion
Nebuchadnezzar - Sortie Officielle de la Mise à jour 1.2;https://www.mundusbellicus.fr/604060-nebuchadnezzar-sortie-officielle-de-la-mise-a-jour-1-2;Ancient Egypt Fan;2021-09-15 17:33:00;77.0;Nebuchadnezzar;Gestion
Chernobyl Liquidators Simulator - Carnet de développement n°45-n°47;https://www.mundusbellicus.fr/604043-chernobyl-liquidators-simulator-carnet-de-developpement-n45-n47;Ancient Egypt Fan;2021-09-14 22:21:00;42.0;Chernobyl Liquidators Simulator;Gestion
Total War : Warhammer III - L'Empire du Grand Cathay;https://www.mundusbellicus.fr/604042-total-war-warhammer-iii-l-empire-du-grand-cathay;Lord Perhaps On The Roof;2021-09-14 22:11:00;834.0;Total War : Warhammer II;Total War
Sumerians - Nouveaux contenus Plazas;https://www.mundusbellicus.fr/604038-sumerians-nouveaux-contenus-plazas;Ancient Egypt Fan;2021-09-14 21:28:00;71.0;Sumerians;Gestion
Europa Universalis IV - Carnet de développement du 14 Septembre 2021;https://www.mundusbellicus.fr/604033-europa-universalis-iv-carnet-de-developpement-du-14-septembre-2021;AcidePrussique;2021-09-14 19:07:00;427.0;Europa Universalis IV;Grande Stratégie
Carnet de développement HOI4 1.11 Barbarossa : Les Exilés de l’Union Soviétique;https://www.mundusbellicus.fr/604024-carnet-de-developpement-hoi4-1-11-barbarossa-les-exiles-de-l’union-sovietique;Sinake;2021-09-14 15:29:00;337.0;Hearts of Iron IV;Grande Stratégie
Date de sortie repoussée en 2022 pour Total War : Warhammer III;https://www.mundusbellicus.fr/604009-date-de-sortie-repoussee-en-2022-pour-total-war-warhammer-iii;Lord Perhaps On The Roof;2021-09-13 22:21:00;354.0;Total War : Warhammer II;Total War
El Dorado: The Golden City Builder - Carnet de Développement #2;https://www.mundusbellicus.fr/604008-el-dorado-the-golden-city-builder-carnet-de-developpement-2;Ancient Egypt Fan;2021-09-13 21:56:00;89.0;El Dorado: The Golden City Builder;Gestion
"Stellaris, carnet des développeurs n°223 : La mise à jour 3.1 ""Lem"".";https://www.mundusbellicus.fr/603949-stellaris-carnet-des-developpeurs-n-223-la-mise-a-jour-3-1-lem;Vilcoyote;2021-09-11 00:49:00;584.0;Stellaris;Grande Stratégie
Project Wunderwaffe - Nouvelles de Production #7 et #8;https://www.mundusbellicus.fr/603925-project-wunderwaffe-nouvelles-de-production-7-et-8;Ancient Egypt Fan;2021-09-09 22:55:00;195.0;Project Wunderwaffe;Gestion
Builders of Egypt - Progression actuelle de la bêta fermée;https://www.mundusbellicus.fr/603921-builders-of-egypt-progression-actuelle-de-la-beta-fermee;Ancient Egypt Fan;2021-09-09 21:34:00;120.0;Builders of Egypt;Gestion
Europa Universalis IV - Carnet de développement du 7 Septembre 2021;https://www.mundusbellicus.fr/603889-europa-universalis-iv-carnet-de-developpement-du-7-septembre-2021;AcidePrussique;2021-09-08 15:03:00;592.0;Europa Universalis IV;Grande Stratégie
Stellaris, carnet des développeurs n°221 : Équilibrage et Ergonomie.;https://www.mundusbellicus.fr/603883-stellaris-carnet-des-developpeurs-n-221-équilibrage-et-ergonomie;Vilcoyote;2021-09-08 13:14:00;293.0;Stellaris;Grande Stratégie
Crusader Kings 3 : Tenir la Cour;https://www.mundusbellicus.fr/603872-crusader-kings-3-tenir-la-cour;Mouchi;2021-09-08 09:12:00;526.0;Crusader Kings 3;Grande Stratégie
Timberborn - Carnet de Développement #3;https://www.mundusbellicus.fr/603812-timberborn-carnet-de-developpement-3;Ancient Egypt Fan;2021-09-04 23:29:00;419.0;Timberborn;Gestion
Diarium Strategorum - 25ème édition - Le Journal des Stratèges : juin 2021;https://www.mundusbellicus.fr/603766-diarium-strategorum-25ème-édition-le-journal-des-stratèges-juin-2021;CptSparke;2021-09-01 19:13:00;196.0;Diarium Strategorum;
